#lon vel Tant_corr
10.0 -32.3760810505 20.36010539755634
10.0 -31.6360810505 9.7635806915589
10.0 -30.3971747257 23.286999082541968
10.0 -29.6571747257 10.825451253150703
10.0 -28.4182422846 24.917614615531676
10.0 -27.6782422846 12.88957652461275
10.0 -26.4392837265 25.650021030057644
10.0 -25.6992837265 13.839971388825063
10.0 -24.4602990511 26.26328558485588
10.0 -23.7202990511 14.838650312625845
10.0 -22.4812882577 26.23947376360141
10.0 -21.7412882577 15.473627346750646
10.0 -20.502251346 29.784649274703497
10.0 -19.762251346 16.0059161257833
10.0 -18.5231883153 26.714874051041505
10.0 -17.7831883153 17.27352986809521
10.0 -16.5440991651 27.424208249752326
10.0 -15.8040991651 20.286481375794438
10.0 -14.564983895 30.430710251991655
10.0 -13.824983895 24.37878303467008
10.0 -12.5858425043 36.119436662685615
10.0 -11.8458425043 31.951446814134584
10.0 -10.6066749927 46.79144231031981
10.0 -9.86667499266 44.01648426717304
10.0 -8.62748135949 55.40178024667739
10.0 -7.88748135949 47.61890653028422
10.0 -6.64826160422 58.08150174662663
10.0 -5.90826160422 42.98272432342728
10.0 -4.66901572646 57.810656307877906
10.0 -3.92901572646 42.46794794996757
10.0 -2.68974372559 58.092291650742396
10.0 -1.94974372559 45.81958729661949
10.0 -0.710445601068 60.20045371790593
10.0 0.0295543989318 48.30765183339287
10.0 1.26887864748 60.77018667419608
10.0 2.00887864748 47.39615061353845
10.0 3.24822902071 63.09453290633459
10.0 3.98822902071 45.22109227349071
10.0 5.22760551906 63.55253302271663
10.0 5.96760551906 42.109485032815
10.0 7.20700814311 61.74522585316575
10.0 7.94700814311 38.30133669415102
10.0 9.18643689336 57.875648448705164
10.0 9.92643689336 33.58465464315856
